path,size_bytes,sha256,recommendation,kind,description,deletion_risk,json_shape,top_level_records,qa_count_if_dataset,parse_error
data/qa/challenge/output/challenge1190_claude-sonnet-5_remaining_after_balanced_run_wholepdf_dpi144_v1_result.json,6934645,a1b77e54a5294143d17677f765be2c0bb1000547d83b6d6aa13650653637b09e,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,441,1190,
data/qa/challenge/output/challenge_answerable1000_5models_balanced_wholepdf_dpi144_noproxy_v1_result.json,5759881,d95ab6393cd75f4479b57a442eaa6d7fa7c96aba973f74cd15b03cd596de99b9,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,389,1000,
data/qa/challenge/output/challenge_candidate_1190_gemini-3.7-flash_wholepdf_dynamiccompress_dpi144_v1_result.json,7127072,849e54cd79fef05c68c84f906cb423b910d9596f164a3c3947890996a1df8eb2,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,441,1190,
data/qa/challenge/output/challenge_candidate_stride10_GPT-5_6_wholepdf_dpi144_noproxy_v1_result.json,663584,1a8406790f1d87f69cb3391525e4436be2e9c96404f5ed00faf5ba5c11ca51cd,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,119,119,
data/qa/cross_pdf/hard_expansion/output/hard_cross_pdf_strict_dual_review_final_400_claude-sonnet-5_wholemerged_dynamiccompress_dpi144_v1_result.json,6566287,53462829cfa661e922bbd3bdff84338692065e258650059adc17fef678713cf0,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,141,400,
data/qa/cross_pdf/hard_expansion/output/hard_cross_pdf_strict_dual_review_final_400_gemini-3.7-flash_legacyprotocol_retry524_dpi144_v5_result.json,6380934,8d6fc82659bcccd976e3730ebc941e4a30d256b11223812389007b7f1266d2c7,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,141,400,
data/qa/cross_pdf/hard_expansion/output/hard_cross_pdf_strict_dual_review_final_400_gemini-3.7-flash_wholemerged_dynamiccompress_dpi144_v1_result.json,3061142,e6b4d3b8bb3cd8837d87094a21881a94e37ad234aa87fc87086cdec93193d23a,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,141,400,
data/qa/cross_pdf/hard_expansion/output/hard_cross_pdf_strict_dual_review_final_400_gemini-3.7-flash_wholemerged_dynamiccompress_dpi144_v2_524fallback_result.json,3082231,db8441726c609ae5c55701079ab6f1e8b1b06f8fe27e467cc1a61082916c7d82,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,141,400,
data/qa/cross_pdf/output/qa_cross_pdf_challenge100_stride4_GPT-5_6_wholemerged_dpi144_noproxy_v1_result.json,967460,624721e91cbad223930264c533e91d935d5ff8cab4c3d986d7f292b63ad1b41f,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,84,100,
data/qa/cross_pdf/output/qa_cross_pdf_challenge100_stride4_qwen3_5_wholemerged_dpi144_result_v1.json,724666,968c10c3d2dbe97be2a9f34916d91f240f05d0210f3a81aedff7db0fb783a69c,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,84,100,
data/qa/cross_pdf/output/qa_cross_pdf_challenge300_remaining_GPT-5_6_wholemerged_dpi144_noproxy_v1_result.json,2757745,93532a9d0e13b4815d4071ef3992a6c46c44c03ae7b6b71d9a7c9818dc8503c6,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,109,300,
data/qa/cross_pdf/output/qa_cross_pdf_challenge400_GPT-5_6_selfretrieved_pages_only_dpi144_v1_result.json,2149308,e8421a407c6a80eae31f1101ac2130835a4821897cea7b9cf515945c25308ee7,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,119,400,
data/qa/cross_pdf/output/qa_cross_pdf_challenge400_all_qwen3_5_wholemerged_dpi144_result_v1.json,176393,d0e49bd701d35fdce47d65b5eafef58a4ffc376c2e41e679b7077204e14ff9fd,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,6,29,
data/qa/cross_pdf/output/qa_cross_pdf_challenge400_claude-sonnet-5_wholemerged_dynamiccompress_dpi144_answerable_v1_result.json,4063996,480ab4da422a0f2d0363b3859619c0f53fb8e43ee59c3c84f45a6901412069a7,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,119,400,
data/qa/cross_pdf/output/qa_cross_pdf_challenge400_claude-sonnet-5_wholemerged_filesapi_dpi144_long1440_q68_v1_result.json,14990,ae87d5375d46d43bcd5550895780949600991b757b8ab520c3076193208e36a4,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,1,3,
data/qa/cross_pdf/output/qa_cross_pdf_challenge400_gemini-3.7-flash_fill_previous_pro200_wholemerged_dynamiccompress_dpi144_answerable_v1_result.json,2202397,d64352456efa177fc5e0000175f9dd5e5fb5341686f1ddc41a6ec029e7456d7d,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,101,200,
data/qa/cross_pdf/output/qa_cross_pdf_challenge400_gemini-3.7-flash_gemini-3.1-pro-preview_200each_wholemerged_dynamiccompress_dpi144_answerable_v1_result.json,3985080,95512065eed030c453b112aaf8351d1ae00b1dd0c5038ef2e5990fd9cec9203b,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,119,400,
data/qa/output/gpt56_terra_shortqa_first1211_wholepdf_dpi144_v1/failed.json,944,e3e361f834b5560cd4d77236cfc31a24af89c9a37ae20a258d934a8c7544279f,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,array,2,,
data/qa/output/gpt56_terra_shortqa_first1211_wholepdf_dpi144_v1/result.json,4035236,cd48bc2767fd376198ca6b4a7f34a29b3b6425921f3653d78482a6081dcde92a,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,182,1211,
data/qa/output/qa_correct_short_answer_GPT-5.6-terra_wholepdf_v1_result.json,168630,e5b982c33a8c3d94801ea20abdf02b1ed2b74c95839abe7b3175ef8f0910cdd2,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,invalid_or_unreadable,,,JSONDecodeError
data/qa/reasoning/calibration/reasoning_candidate_diagnostic_20b_claude_result.json,101854,5c39b42e48d8a21086bc67d1a40f9fdeb5fcd5b8de40d89c5e5024fa02b15742,archive_then_delete,model_output,候选模型、答题模型或 Judge 的历史输出。,不影响最终 QA 文件，但删除会失去模型表现和筛选依据。,object,18,20,
