model,qa_id,task,status,category,historical_correct,reference_only_revision_rescored,differences,source,raw_sha256
MiniCPM-V 2.6,QA0001,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,e136dbb957160d2b7158ac609632280f8a170c5862eff444e975b3b7ad1da612
MiniCPM-V 2.6,QA0002,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,59ad08c935d8674f8378b7018607d0e6c198524ce2572b5ca231c4cb692e2fcd
MiniCPM-V 2.6,QA0003,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,5b69573f9774bf7b3607b480b2994dcd84d285cf4de1c5d28856b8cb98e5622c
MiniCPM-V 2.6,QA1001,Unanswerable,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,46c76d477fb73f79ca6c6a3d900b69159bb1b0c79e838669098e90829c81d03e
MiniCPM-V 2.6,QA1002,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,1c379bbbfed910feaa1c98d1ec60c5ee44b4cf618707a15492ded9706638eebd
MiniCPM-V 2.6,QA1003,Unanswerable,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,2a17c576600a665fef70d375866d91a547a6ae94517e66b3aea5dcd4ba148950
MiniCPM-V 2.6,QA1004,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,96ffe2ebdcc0be77f375add1b1851a1cb3db53fa24e8fef6150f86a779d73fbd
MiniCPM-V 2.6,QA1005,Unanswerable,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,a9ebcbd049f776f04144d80ccab35724a70cbb14eff1e5501a446c8d232ad79f
MiniCPM-V 2.6,QA1006,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c57d7e7ca524955fe34e3b296f3d217e4c9e5cdb3922c6bbee6dadb1f45af07d
MiniCPM-V 2.6,QA0183,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,cd9c7565b3bf38461387680b8b508865b2fe0ca4d9baba0a565d2d029d5de0c7
MiniCPM-V 2.6,QA0184,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,199c04b997802220e6c7e1c74553e5bf3903784e74de46112a5f17689578a725
MiniCPM-V 2.6,QA0185,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,89b661ce47bde2267be5338986eadc69b6fa56d4d3934a57e2c45500f1c249f3
MiniCPM-V 2.6,QA0186,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c464702efaaf4ac46ca7c68620d869abde70eff00dc484b8bcab9552eaf9253a
MiniCPM-V 2.6,QA0187,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,2ebe3b7f7b9584a25addacfbcbb2a8f49b550e885a5efc7ccde14108ee3a7f5d
MiniCPM-V 2.6,QA0188,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,925a81dd8afa3d20b14e33e026ddf5d5dd5f27d538b4dfdf51745c7171bda7a4
MiniCPM-V 2.6,QA0189,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,878d008efb49fb3170e9660e7f62e89f6e6c4a98b4622e4c4b49bdf1b8f13a6e
MiniCPM-V 2.6,QA0190,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,45de83bf73724c7d1f56a08a9e305b9845afcd5d5039ab5320593ee71673f96b
MiniCPM-V 2.6,QA0191,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,f664adaaea95e252e44e8c97ca4f180e156523eda7c3107cbacef2306c4ceb45
