path,size_bytes,sha256,recommendation,kind,description,deletion_risk,json_shape,top_level_records,qa_count_if_dataset,parse_error
data/qa/cross_pdf/hard_expansion/audited_full_pilot_v1/bundle_manifest.json,311335,d8e2b744aef218774a103f5934ab1d57eb6c53464e42f48e9f146f9815639ad5,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,array,300,,
data/qa/cross_pdf/hard_expansion/audited_full_pilot_v1/hard_cross_pdf_candidates_10.json,36025,2b3623ad0f995f359d5ba5ea4be8c4e36f4f74c1f7c0b60117a5d0cd0cacec3d,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,object,7,9,
data/qa/cross_pdf/hard_expansion/audited_full_pilot_v1/progress.json,158,d2ce0431319dca5074003cc46d7e561773a94ba33f28d49b92b80868c30bc23d,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,object,6,,
data/qa/cross_pdf/hard_expansion/audited_full_pilot_v1/selected_bundles.json,523,187d16cc985abc6f098ea47bd9d8474a1bb11f645c9e84fa3e4c524997d5e6d6,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,array,40,,
data/qa/cross_pdf/hard_expansion/audited_full_pilot_v1/summary.json,514,956ada0c0e6481297d89f74ef52f97bc9f1610054bc2fd55afb0f0f37f147b94,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,object,13,,
data/qa/cross_pdf/hard_expansion/bundle_manifest.json,311335,d8e2b744aef218774a103f5934ab1d57eb6c53464e42f48e9f146f9815639ad5,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,array,300,,
data/qa/cross_pdf/hard_expansion/cross_pdf_pilot_clean_2.json,12921,54d712fd3d4edb46ac9afca000e9808c288be87d72758f5c109dd8da5cbc8fe5,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,object,2,2,
data/qa/cross_pdf/hard_expansion/full_v2_audited_facts/bundle_manifest.json,311335,d8e2b744aef218774a103f5934ab1d57eb6c53464e42f48e9f146f9815639ad5,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,array,300,,
data/qa/cross_pdf/hard_expansion/full_v2_audited_facts/gpu_pool_state.json,1485,d26d9c6537d8dc0a9d630e2d541a74b69573b0a8e434b0ab29e2f35f58c48729,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,object,20,,
data/qa/cross_pdf/hard_expansion/full_v2_audited_facts/hard_cross_pdf_candidates_800.json,21779,d6dca19169b2b7dc50d302e8db2adb9c385013b0c341d48dbb2c2f251f477b41,archive_then_delete,generation_selection_or_provenance,高难扩展、候选筛选、bundle 映射或语义复审的中间数据。,删除不改变最终 QA 内容，但会失去其生成、双审和补题来源链。,object,3,4,
