model,paper_all,strict_minimum,strict_maximum,minimum_gap_pp,legal,illegal,missing,unresolved_input_versions,reference_revisions_rescored,markdown_fences,historically_correct_now_illegal,historically_correct_unresolved_input
MiniCPM-V 2.6,15.59,0.0,0.0,15.59,0,2198,2,0,0,0,343,0
InternVL2.5-8B,22.32,0.0,0.13636363636363635,22.183636363636364,3,2190,2,5,0,2190,489,1
MiniCPM-V 4.5,34.32,1.2727272727272727,50.95454545454545,0.0,1278,712,2,208,0,503,110,112
InternVL3.5-8B,34.95,0.22727272727272727,69.5909090909091,0.0,1673,472,12,43,162,25,78,21
Gemma 3 27B,47.32,0.045454545454545456,0.09090909090909091,47.22909090909091,2,2171,2,25,114,2155,1027,13
Mistral-Small-3.1-24B,49.0,0.5,38.59090909090909,10.409090909090907,1006,1192,2,0,5,1178,461,0
Qwen3-VL-4B,64.91,5.409090909090909,93.27272727272727,0.0,2121,24,12,43,162,0,7,33
Qwen3-VL-8B,68.32,3.8636363636363638,91.77272727272727,0.0,2122,23,12,43,162,0,11,32
Claude Sonnet 5,69.32,6.181818181818182,68.63636363636364,0.6836363636363529,1563,556,40,41,156,509,314,30
DeepSeek-V4-Flash,79.45,1.2727272727272727,89.0909090909091,0.0,2130,43,2,25,114,0,30,22
GLM-4.6V,80.95,3.6818181818181817,82.0,0.0,1902,271,2,25,111,72,222,20
