qa_id,task,group,old_correct,new_correct,historical_cache_key,historical_input_differences
QA0001,General,identical_judge_inputs,True,True,b832f7160c79c7a3047686236393a9320c38d02879157e49d01a17ac426df995,
QA0002,General,identical_judge_inputs,True,True,79975074e9c2bf58118b6d14a7b4485cb13994ef56c11ff8181ad0de2683fa19,
QA0003,General,identical_judge_inputs,True,True,c1c952153e54429b3a0168353c4a17cbd39828ef485bbb81d95635f650d6ad95,
QA0004,General,identical_judge_inputs,True,True,08521517748d4aa029208000cd8a85cae838d1038f85542be6f34dae45987f05,
QA0005,General,identical_judge_inputs,True,False,70c38e74bad5c364f30d6055c0175117f2272d69bfb35ab5c685cde50a4523a9,
QA0006,General,identical_judge_inputs,False,False,7f4173125f134932308f40758a63bab46d57a15ec4e8bb8e4a51bde65adf1aed,
QA0007,General,identical_judge_inputs,True,True,01706f2783beb40104ae2db6091c69cef0f0508e28f8819a913d1efebc90e41e,
QA0008,General,identical_judge_inputs,True,True,3dc614da7ac5c08eb935b6951eac37a92cf3cc3f495c6bb894b68589c47bdae2,
QA0009,General,identical_judge_inputs,True,True,769b0f7b667cbdb6b273c4029f4bb4a7d978456780776f6031290f32a2b04047,
QA0010,General,identical_judge_inputs,True,True,2d5db0e3b1511ec945abe61ef1dfc4414b05b4a7636dbd942b5987a3afa4ae56,
QA0011,General,identical_judge_inputs,True,True,1719e0d6a3815fa17fa5fb4a7f4405747e93038d357e2aae8c327131c8ba7bdc,
QA0012,General,identical_judge_inputs,True,True,a578e2eef04c331dea525e7b77c81f77ea0fb33f6e6e0b52027db4de196b956e,
QA0013,General,identical_judge_inputs,True,True,77df4f62973e07e64f8f223765e83236facf7e0b99de4ee06c62f19afbfe2f1b,
QA0014,General,identical_judge_inputs,False,False,5006e511babaa5a78b60d33604132d8345cc618a3928c2d26883151855e641a3,
QA0015,General,identical_judge_inputs,True,True,05e8b7a73c5d7bbff20d5c9140204e6941f0266709e5adf936334dccfc62b98d,
QA0016,General,identical_judge_inputs,True,True,2423cbe6e7b28eb359818fe0160b44328f5d9911f7538a04f89ac9eed7002fe5,
QA0017,General,identical_judge_inputs,False,False,1095b6f955d62e62e8d426bea6d7047343bcd7c95caa7db54801083a937da352,
QA0018,General,identical_judge_inputs,True,True,b4b7ed03b3d8f670f21c59016898801beb07ec921742fce3f5119612f0934861,
QA0019,General,identical_judge_inputs,False,False,07b00a452da54b38494d595102d27c6b7f684b2b81d6f45e178698f3293acd5b,
QA0020,General,illegal,True,False,ed195fc3fdb9dac748e33de38f51a9a046bf67a677f362133e463367f80a37de,
QA0021,General,identical_judge_inputs,True,True,409257e6c3e127857db5066020b504c1e2a5a6c64f59726378f119d67bcde1b4,
QA0022,General,identical_judge_inputs,True,True,02727ea5bbcea16a7661cff4674aabe85ff7e765d6f797054b4026b07c6333b8,
QA0023,General,identical_judge_inputs,False,False,8aa26ca054fa970b1ba93e31d353c75a273884d763614e6815bc788c0155710b,
QA0024,General,identical_judge_inputs,True,True,8e94043ad178b0d41c61cb19ef8eee32bb9bc16ef6f2017de5b2772240192a17,
QA0025,General,identical_judge_inputs,True,True,e61a513498c202a72eaff5d932a7e52906cdcc83f29886b3f3ae5982be9887c0,
QA0026,General,identical_judge_inputs,True,True,b90c0a0ae7e2aaae9079b813f7dbd9fc35f7408045725a9132c2d0a4ba3f587e,
QA0027,General,illegal,False,False,7a7ceb2549e87987eab164a4ba494215d199cec215d9d0277af3df9e1d69ae73,
QA0028,General,identical_judge_inputs,True,True,67339346daa6a2c31b5f96b2d7b99ee0896ad88e055300d11e6c1105626ac2c7,
QA0029,General,identical_judge_inputs,True,True,01ff32aafe7ded28f67eb54b5becebf805e7f898025ce02db310a7db080d226a,
QA0030,General,identical_judge_inputs,True,True,521f19ed8e24815d7700434040543c0b2368d4d4b6bc75576bc27ed79806f050,
QA0031,General,technical_failure,True,False,43281e49f0472a2743d006e2eb3b74ea8f8b75af0063da96044929de6dfabce9,
QA0032,General,identical_judge_inputs,True,True,220df92b9222dda65636ee545646041d42d67cec90fcfe55565945e38c5f0e32,
QA0033,General,identical_judge_inputs,True,True,d0af4e8e206e95c893acacc87f07a84836ef924f706c94bf7b4f006fd9ae6f7d,
QA0034,General,identical_judge_inputs,True,True,08a271b70febbf06397ff00517e0c21e1679856e9b4094b038724565c564dbb4,
QA0035,General,identical_judge_inputs,True,True,66c9ffc1185dcfd3db051ded0a7906ac6e42ea642f7404706cf5a126a5afe148,
QA0036,General,identical_judge_inputs,True,True,c49ff89286873e0013d142bd5d6f482b583a61e9ff6afc508e2192e03dc0ab73,
QA0037,General,identical_judge_inputs,True,True,9b01a63510d11ca74c05d58dad14796eb788cbdfa7c96c7c5589ff83390ad6f3,
QA0038,General,identical_judge_inputs,True,False,6f0b10b9781469baf8f55c358afd3a17851fdd580879913684fb147f677581fc,
QA0039,General,identical_judge_inputs,True,True,d1ba79175243be2848dafad4d3db931afca38b3523ef3c38174f2920f53eb0f4,
QA0040,General,identical_judge_inputs,False,False,bcaa6e6bdef476be780369103b451c533b960650febd3cbb61e5bfafed06258f,
QA0041,General,identical_judge_inputs,True,True,24bd3d5d9ae3c770e37f4c7ff7d4e796efde6e193476ec294b9bbe8455d74db8,
QA0042,General,identical_judge_inputs,False,True,b604cc1b763c25d616bf83c25c822450762d28a64a44a7265978965eeeabde4e,
QA0043,General,identical_judge_inputs,False,False,0f1fe7205fb36981a70d837e0cf2ab8b29f96881041a117e69aa6bef742a10e3,
QA0044,General,identical_judge_inputs,True,True,29f2c9b9ec178a8520e9cb893021774b1a84aff36fa65362456ede83391ec11f,
QA0045,General,identical_judge_inputs,True,True,79f3f1c3ec2ccdd514ea33112b81bb13156ce831d35a163b1a943fa2e885b32a,
QA0046,General,identical_judge_inputs,False,False,f3fd74269efa6b62cb9845a091230371155282822a5eb1b905e46c59bd68ffd5,
QA0047,General,identical_judge_inputs,True,True,46bd2b204eb6ecf099605598dd4d17fb15e8c334186aa54a62b07743013cdfc5,
QA0048,General,identical_judge_inputs,True,True,ba6261dff3cbf6fd9ba2af2db04b0afe368ea8e905f3e9084f6aefcd9b42cb6b,
QA0049,General,identical_judge_inputs,False,False,666f71c734db8831a5ae2120c91b04d99d522f10374c8776b34718994d3fb7cb,
QA0050,General,identical_judge_inputs,True,True,206dd35c4527b82e76dc408c1893268a3e22ec7b55cea5a8531554207264974d,
QA0051,General,technical_failure,True,False,503c7091007765ebb90f0499ac761b0132033ba91938096c00b64bf4ef93030b,
QA0052,General,identical_judge_inputs,False,False,80175248cdaac5b7df2cd4c1347b9ca50cab67b6f944107151444528a4c75441,
QA0053,General,identical_judge_inputs,True,True,be66c0148480d7f262b7ff2bf0f22d789a0f15877adc8430fe9496d0cee443fa,
QA0054,General,identical_judge_inputs,True,False,edc754202a83af4005bfde01e05cf6f66cc5b6d4210cf127d18b22fa5b03e8b9,
QA0055,General,identical_judge_inputs,True,True,c823dac4402cfbf5e38bd22e99626774753ca47c6aced8b3ace9bbdc235e896a,
QA0056,General,identical_judge_inputs,True,True,5298f9265cf4631e6a270256f53c2135a60aeae78bcbc6d1a70c1c21b008acdc,
QA0057,General,changed_judge_inputs,True,False,47f59c7f6e4e90c0f24f110983f5b8c029fe5a32ca14a7543ef04d588415fe1f,reference
QA0058,General,identical_judge_inputs,True,True,979d9d135da6365095a2fbfebdef89c0fbb61352794ba54f671fe8f9a4cd76f4,
QA0059,General,identical_judge_inputs,True,True,5de9637d89602d314ff1dafabadb5c89f7441e4cf97a8d2921cfac055e300794,
QA0060,General,identical_judge_inputs,False,False,3e61f264d6ffb2314d1cbacdba9e3a383f7133a423b0c1570c1359441716e510,
QA0061,General,identical_judge_inputs,True,True,3092dcfaff51fdddcb157d0eed4e825461f0f9c42fe01ca8406a2b77b7697f60,
QA0062,General,identical_judge_inputs,True,True,788d94eb6319c7fab4f99274fa3c1ac6e1d8ce18e4ac6f734f736af870d6da80,
QA0063,General,identical_judge_inputs,True,True,9e76531a7fdb25ad194b5ef519672d35e9a0fe72a1649ce3ef37831da0506018,
QA0064,General,identical_judge_inputs,True,True,57388d20af8f062fb4d8de01fd19e76929b35ecee1374209ba290150d62717af,
QA0065,General,identical_judge_inputs,True,True,c7e77cc9f91c28431948ace41a64a048015eb25b60db19a9f0416fceff4b4f35,
QA0066,General,identical_judge_inputs,True,True,bbc5b7ab3b13b4779f6d7d3fe2c58f2febe20bc32a3b3be1efe1f8b5d4548cc2,
