model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
MiniCPM-V 2.6,All,15.59,2200,0,0,0.0,0.0,0.0,-15.59,PROVEN_MISMATCH
MiniCPM-V 2.6,Computer Science,16.51,743,0,0,0.0,0.0,0.0,-16.51,PROVEN_MISMATCH
MiniCPM-V 2.6,Physics,18.73,379,0,0,0.0,0.0,0.0,-18.73,PROVEN_MISMATCH
MiniCPM-V 2.6,Statistics,15.85,367,0,0,0.0,0.0,0.0,-15.85,PROVEN_MISMATCH
MiniCPM-V 2.6,Mathematics,10.2,245,0,0,0.0,0.0,0.0,-10.2,PROVEN_MISMATCH
MiniCPM-V 2.6,Electrical Engineering and Systems Science,10.16,129,0,0,0.0,0.0,0.0,-10.16,PROVEN_MISMATCH
MiniCPM-V 2.6,Economics,16.06,137,0,0,0.0,0.0,0.0,-16.06,PROVEN_MISMATCH
MiniCPM-V 2.6,Quantitative Biology,15.79,114,0,0,0.0,0.0,0.0,-15.79,PROVEN_MISMATCH
MiniCPM-V 2.6,Quantitative Finance,15.12,86,0,0,0.0,0.0,0.0,-15.12,PROVEN_MISMATCH
InternVL2.5-8B,All,22.32,2200,0,3,0.0,0.13636363636363635,,,PROVEN_MISMATCH
InternVL2.5-8B,Computer Science,21.34,743,0,2,0.0,0.2691790040376851,,,PROVEN_MISMATCH
InternVL2.5-8B,Physics,26.39,379,0,1,0.0,0.2638522427440633,,,PROVEN_MISMATCH
InternVL2.5-8B,Statistics,24.32,367,0,0,0.0,0.0,0.0,-24.32,PROVEN_MISMATCH
InternVL2.5-8B,Mathematics,13.88,245,0,0,0.0,0.0,0.0,-13.88,PROVEN_MISMATCH
InternVL2.5-8B,Electrical Engineering and Systems Science,17.97,129,0,0,0.0,0.0,0.0,-17.97,PROVEN_MISMATCH
InternVL2.5-8B,Economics,32.12,137,0,0,0.0,0.0,0.0,-32.12,PROVEN_MISMATCH
InternVL2.5-8B,Quantitative Biology,19.3,114,0,0,0.0,0.0,0.0,-19.3,PROVEN_MISMATCH
InternVL2.5-8B,Quantitative Finance,23.26,86,0,0,0.0,0.0,0.0,-23.26,PROVEN_MISMATCH
MiniCPM-V 4.5,All,34.32,2200,28,1093,1.2727272727272727,50.95454545454545,,,UNSCORED_BOUND
MiniCPM-V 4.5,Computer Science,25.91,743,7,274,0.9421265141318977,37.81965006729475,,,UNSCORED_BOUND
MiniCPM-V 4.5,Physics,44.85,379,4,231,1.0554089709762533,62.00527704485488,,,UNSCORED_BOUND
MiniCPM-V 4.5,Statistics,33.88,367,3,161,0.8174386920980926,44.6866485013624,,,UNSCORED_BOUND
