path,format,characters,review_scope
.vscode/settings.json,.json,38,全文扫描；疑点按当前数据/代码复核
README.md,.md,5253,全文扫描；疑点按当前数据/代码复核
data/archive/README.md,.md,535,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/README.md,.md,2832,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/archive_index.csv,.csv,2733,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/evaluation_non_json/manifest.csv,.csv,28443,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/evaluation_result/manifest.csv,.csv,2026269,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/generation_checkpoint/manifest.csv,.csv,145783,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/generation_raw_shard/manifest.csv,.csv,9307180,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/generation_selection_or_provenance/manifest.csv,.csv,246599,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/historical_or_upstream_dataset/manifest.csv,.csv,2850,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/historical_qa_artifact/manifest.csv,.csv,78865,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/model_or_cleaning_review/manifest.csv,.csv,1207192,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/model_output/manifest.csv,.csv,15104,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/qa_non_json_provenance/manifest.csv,.csv,2270711,历史/审计：保留原始记录
data/archive/final_2200_cleanup_20260911/retained_canonical_paths.csv,.csv,21744,历史/审计：保留原始记录
data/pdf_assets_manifest.json,.json,605277,全文扫描；疑点按当前数据/代码复核
data/qa/1.base/rel__single_pdf__mixed__n4211__v1.json,.json,2892918,历史/审计：保留原始记录
data/qa/1.base/rel__single_pdf__ordinary__batch01__n1000.json,.json,3834166,历史/审计：保留原始记录
data/qa/1.base/rel__single_pdf__short_answer__n4211__v1.json,.json,1714910,历史/审计：保留原始记录
data/qa/1.base/rel__single_pdf__short_answer_unanswerable__n4451__v1.json,.json,1816461,历史/审计：保留原始记录
data/qa/1.base/work__single_pdf__raw_mixed__n6204.json,.json,4000006,历史/审计：保留原始记录
data/qa/1.base/work__single_pdf__unanswerable_pool__n240.json,.json,151099,历史/审计：保留原始记录
data/qa/2.unanswerable/README.md,.md,443,历史/审计：保留原始记录
data/qa/2.unanswerable/rel__single_pdf__unanswerable__batch01__n200.json,.json,698736,历史/审计：保留原始记录
data/qa/3.reasoning/README.md,.md,718,历史/审计：保留原始记录
data/qa/3.reasoning/calibration/reasoning_claude_wrong_candidates_11.json,.json,42401,历史/审计：保留原始记录
data/qa/3.reasoning/dual_review_v2/cleaning_ledger.json,.json,2613495,历史/审计：保留原始记录
data/qa/3.reasoning/hard_expansion/rel__reasoning__incremental__batch02__n100__claude_hard__v1.json,.json,882678,历史/审计：保留原始记录
data/qa/3.reasoning/hard_expansion/rel__reasoning__incremental__batch02__n100__v1.json,.json,655664,历史/审计：保留原始记录
data/qa/3.reasoning/pdf_dependency_audit.json,.json,100942,历史/审计：保留原始记录
