path,size_bytes,sha256,recommendation,kind,description,deletion_risk,json_shape,top_level_records,qa_count_if_dataset,parse_error
data/qa/base/rel__single_pdf__mixed__n4211__v1.json,2894014,87c92b37608c10d98f103a82262d149cdb0ca482ede0b757098eb4a8f5edbaf3,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,693,4211,
data/qa/base/rel__single_pdf__short_answer__n4211__v1.json,1715450,0794fc291d8bbd5d829410b88cdd779da49eb0f3162986599b7559c63e900c6c,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,693,4211,
data/qa/base/rel__single_pdf__short_answer_unanswerable__n4451__v1.json,1817060,d604cfa88d50a1288342b93be63ead1f3cb0e90300dcb175642216c90024da25,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,693,4451,
data/qa/base/rel__single_pdf__short_answer_unanswerable_filtered__n4394__v1.json,1795447,7465a16912f24015d479cb1ccd202a4b59f320f340be59808cc001d1ca392feb,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,693,4394,
data/qa/base/work__single_pdf__raw_mixed__n6204.json,4157015,854ac43096554429038666392240112669afc9cc948c8312f8c5c5572e5bd451,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,703,6204,
data/qa/base/work__single_pdf__raw_mixed_option_shuffled__n6204.json,4001866,05aab6b96e9805e782a8aba3b36d2dcae062e7a8989aeead42dccf736f14f2c6,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,703,6204,
data/qa/base/work__single_pdf__short_answer_balanced_hard__n3000.json,1268884,d911b4b9e35d6a7b23faf75418747883fc3cb5734fc4be52b567855d4eed8624,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,652,3000,
data/qa/base/work__single_pdf__short_answer_filtered__n4154.json,1693837,66d40270fc46d78556e2c255c8bfc0eeb7817bab4097b66710dde4a5b6d9581f,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,693,4154,
data/qa/base/work__single_pdf__unanswerable_pool__n240.json,156206,f92fae1dc59f73605e26da7481e23291030048d4d7e64dd28060655bc3d51bc4,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,40,240,
data/qa/human_reviewed/rel__human_reviewed__authority__batch01__n983.json,471661,b3b38c1a3b51be4e20d2a40f23d60a85dc0e6b1a0589d0f85fb2ac7e8bb876a2,archive_then_delete,historical_or_upstream_dataset,最终 2200 的历史基线、上游数据集或人工 authority 数据。,最终四文件不直接依赖，但生成、规范化或旧实验可能仍引用。,object,475,983,
