model,dataset,same_bytes,copy,original
MiniCPM-V-2.6,ordinary1190,True,data/results/MiniCPM-V-2.6/ordinary1190.json,sxz/models/MiniCPM-V-2_6/output/all5_frozen_laterimage_strongfilter_v6/ordinary1190__prompt-v1__dpi144__strongfilter-v6.json
MiniCPM-V-2.6,cross_old400,True,data/results/MiniCPM-V-2.6/cross_old400.json,sxz/models/MiniCPM-V-2_6/output/all5_frozen_laterimage_strongfilter_v6/cross_old400__prompt-v1__dpi144__strongfilter-v6.json
MiniCPM-V-2.6,cross_hard400,True,data/results/MiniCPM-V-2.6/cross_hard400.json,sxz/models/MiniCPM-V-2_6/output/all5_frozen_laterimage_strongfilter_v6/cross_hard400__prompt-v1__dpi144__strongfilter-v6.json
MiniCPM-V-2.6,reasoning_old100,True,data/results/MiniCPM-V-2.6/reasoning_old100.json,sxz/models/MiniCPM-V-2_6/output/all5_frozen_laterimage_strongfilter_v6/reasoning_old100__prompt-v1__dpi144__strongfilter-v6.json
MiniCPM-V-2.6,reasoning_hard100,True,data/results/MiniCPM-V-2.6/reasoning_hard100.json,sxz/models/MiniCPM-V-2_6/output/all5_frozen_laterimage_strongfilter_v6/reasoning_hard100__prompt-v1__dpi144__strongfilter-v6.json
InternVL25-8B,ordinary1190,True,data/results/InternVL25-8B/ordinary1190.json,sxz/models/InternVL2_5-8B/output/v17_sdpa_docbudget96_promptv1_failfast_gpu2345/merged/ordinary1190__v17_sdpa_docbudget96_promptv1_failfast.json
InternVL25-8B,cross_old400,True,data/results/InternVL25-8B/cross_old400.json,sxz/models/InternVL2_5-8B/output/v17_sdpa_docbudget96_promptv1_failfast_gpu2345/merged/cross_old400__v17_sdpa_docbudget96_promptv1_failfast.json
InternVL25-8B,cross_hard400,True,data/results/InternVL25-8B/cross_hard400.json,sxz/models/InternVL2_5-8B/output/v17_sdpa_docbudget96_promptv1_failfast_gpu2345/merged/cross_hard400__v17_sdpa_docbudget96_promptv1_failfast.json
InternVL25-8B,reasoning_old100,True,data/results/InternVL25-8B/reasoning_old100.json,sxz/models/InternVL2_5-8B/output/v17_sdpa_docbudget96_promptv1_failfast_gpu2345/merged/reasoning_old100__v17_sdpa_docbudget96_promptv1_failfast.json
InternVL25-8B,reasoning_hard100,True,data/results/InternVL25-8B/reasoning_hard100.json,sxz/models/InternVL2_5-8B/output/v17_sdpa_docbudget96_promptv1_failfast_gpu2345/merged/reasoning_hard100__v17_sdpa_docbudget96_promptv1_failfast.json
MiniCPM-V-4.5,ordinary1190,True,data/results/MiniCPM-V-4.5/ordinary1190.json,sxz/models/MiniCPM-V-4_5/output/parsed_result/ordinary1190__prompt-v1__dpi144__run-v4.1.json
MiniCPM-V-4.5,cross_old400,True,data/results/MiniCPM-V-4.5/cross_old400.json,sxz/models/MiniCPM-V-4_5/output/strict_min_full_v1/cross_old400__strict-min-full-v1.json
MiniCPM-V-4.5,cross_hard400,True,data/results/MiniCPM-V-4.5/cross_hard400.json,sxz/models/MiniCPM-V-4_5/output/strict_min_full_v1/cross_hard400__strict-min-full-v1.json
MiniCPM-V-4.5,reasoning_old100,True,data/results/MiniCPM-V-4.5/reasoning_old100.json,sxz/models/MiniCPM-V-4_5/output/strict_min_full_v1/reasoning_old100__strict-min-full-v1.json
MiniCPM-V-4.5,reasoning_hard100,True,data/results/MiniCPM-V-4.5/reasoning_hard100.json,sxz/models/MiniCPM-V-4_5/output/strict_min_full_v1/reasoning_hard100__strict-min-full-v1.json
InternVL35-8B,ordinary1190,True,data/results/InternVL35-8B/ordinary1190.json,sxz/models/InternVL3_5-8B/output/parsed_result/ordinary1190__prompt-v1__dpi144__run-v1.json
InternVL35-8B,cross_old400,True,data/results/InternVL35-8B/cross_old400.json,sxz/models/InternVL3_5-8B/output/strict_min_full_v4_fixed/cross_old400__strict-min-full-v1.json
InternVL35-8B,cross_hard400,True,data/results/InternVL35-8B/cross_hard400.json,sxz/models/InternVL3_5-8B/output/strict_min_full_v4_fixed/cross_hard400__strict-min-full-v1.json
InternVL35-8B,reasoning_old100,True,data/results/InternVL35-8B/reasoning_old100.json,sxz/models/InternVL3_5-8B/output/strict_min_full_v4_fixed/reasoning_old100__strict-min-full-v1.json
InternVL35-8B,reasoning_hard100,True,data/results/InternVL35-8B/reasoning_hard100.json,sxz/models/InternVL3_5-8B/output/strict_min_full_v4_fixed/reasoning_hard100__strict-min-full-v1.json
Gemma3-27B-IT,ordinary1190,True,data/results/Gemma3-27B-IT/ordinary1190.json,sxz/models/Gemma-3-27B-IT/output/strict_min_full_v1/ordinary1190__prompt-v1__dpi144__run-v1.json
Gemma3-27B-IT,cross_old400,True,data/results/Gemma3-27B-IT/cross_old400.json,sxz/models/Gemma-3-27B-IT/output/strict_min_full_v1/cross_old400__prompt-v1__dpi144__run-v1.json
Gemma3-27B-IT,cross_hard400,True,data/results/Gemma3-27B-IT/cross_hard400.json,sxz/models/Gemma-3-27B-IT/output/strict_min_full_v1/cross_hard400__prompt-v1__dpi144__run-v1.json
Gemma3-27B-IT,reasoning_old100,True,data/results/Gemma3-27B-IT/reasoning_old100.json,sxz/models/Gemma-3-27B-IT/output/strict_min_full_v1/reasoning_old100__prompt-v1__dpi144__run-v1.json
